100	0
500100	2
1000100	2
1500100	4
2000100	4
2500100	5
3000100	6
3500100	7
4000100	8
4500100	9
5000100	11
5500100	11
6000100	13
6500100	13
7000100	15
7500100	15
8000100	17
8500100	17
9000100	18
9500100	19
10000100	25
10500100	22
11000100	22
11500100	23
12000100	24
12500100	26
13000100	26
13500100	27
14000100	28
14500100	29
15000100	32
15500100	31
16000100	32
16500100	34
17000100	35
17500100	35
18000100	36
18500100	38
19000100	39
19500100	39
20000100	43
20500100	43
21000100	43
21500100	45
22000100	45
22500100	45
23000100	48
23500100	48
24000100	49
24500100	50
25000100	51
25500100	52
26000100	54
26500100	54
27000100	55
27500100	56
28000100	56
28500100	58
29000100	59
29500100	60
